board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,Go Figure,2022-04-04 15:48:54,4a,4a,10.1537,1,False,1,1,False,True,
tension,30,Scam Likely,2022-04-08 15:39:32,5a,5a,13.0,1,False,1,1,False,True,
tension,30,Scam Likely,2022-04-08 15:41:04,5a,5a,13.0,1,True,1,2,True,True,
tension,30,Scam Likely,2022-04-08 15:41:04,5a,5a,13.0,1,True,1,1,False,True,
tension,30,Risotto’s Route,2022-04-08 15:44:35,5a,5a,13.0169,1,False,1,1,False,True,
tension,30,Risotto’s Route,2022-04-08 15:46:58,5a,5a,13.0169,1,True,1,1,False,True,
tension,30,Krystal Lite,2022-04-08 15:50:37,5a,5a,13.0,1,False,1,1,False,True,
tension,30,Krystal Lite,2022-04-08 15:51:41,5a,5a,13.0,1,True,1,1,False,True,
tension,30,squid mail,2022-04-08 16:02:29,5b,5b,14.0377,1,False,1,1,False,True,
tension,30,squid mail,2022-04-08 16:02:38,5b,5b,14.0377,1,True,1,1,False,True,
tension,30,Bubbles,2022-04-08 16:06:45,6a,6a,16.0,1,False,1,1,False,True,
tension,30,Bubbles,2022-04-08 16:17:53,6a,6a,16.0,1,True,1,1,False,True,
tension,30,And I’m dying,2022-04-08 16:33:35,6a,6a,16.0824,1,False,1,1,False,True,
tension,30,And I’m dying,2022-04-08 16:33:38,6a,6a,16.0824,1,False,1,2,True,True,
tension,30,And I’m dying,2022-04-08 16:33:46,6a,6a,16.0824,1,True,1,1,False,True,
tension,30,Dull Scissors,2022-04-08 17:04:18,6a,6a,16.0,1,False,1,1,False,True,
tension,30,Dull Scissors,2022-04-08 17:08:05,6a,6a,16.0,1,True,1,1,False,True,
tension,30,loser,2022-04-08 17:52:36,5a,5a,13.0,1,False,1,1,False,True,
tension,30,Pre-game,2022-04-08 18:33:45,4a,4a,10.0,1,False,1,1,False,True,
tension,30,Pre-game,2022-04-14 17:29:25,4a,4a,10.0,1,False,2,2,True,True,
tension,30,Go Figure,2022-04-14 17:29:44,4a,4a,10.0813,1,False,1,1,False,True,
tension,30,Wall of fame,2022-04-14 17:29:54,4a,4a,10.0644,1,False,1,1,False,True,
tension,30,Warm Up 3,2022-04-14 17:30:02,5a,5a,12.966,1,False,1,1,False,True,
tension,30,Laser Camera,2022-04-14 17:30:10,5a,5a,13.0,1,False,1,1,False,True,
tension,30,JUG,2022-04-14 17:30:37,5a,5a,13.0,1,False,1,1,False,True,
tension,30,Gabes flappy pants,2022-04-14 17:30:45,5a,5a,13.0,1,False,1,1,False,True,
tension,30,We Scream Like Eagles,2022-04-14 18:04:59,6b,6b+,19.0,3,False,1,3,False,True,
tension,30,Getting By,2022-04-14 18:05:13,6b,6b,18.0,2,False,1,2,False,True,
tension,30,Less Power,2022-04-14 18:38:16,6a,6a,16.0,2,False,1,2,False,True,
tension,30,Z E L D A W A V E,2022-04-14 19:24:42,6b,6b,18.0,1,False,1,1,False,True,
tension,30,No Tension Needed,2022-04-14 20:32:20,6a+,6a+,17.0,1,False,1,1,False,True,
tension,35,loser,2022-04-20 16:14:29,5a,5a,13.0488,1,False,1,1,False,True,
tension,35,Bye Bye Henry,2022-04-20 16:25:04,5a,5b,14.0,1,False,1,1,False,True,
tension,35,Shane Co.,2022-04-20 16:27:53,5a,5a,13.25,1,False,1,1,False,True,
tension,35,Gabes flappy pants,2022-04-20 16:35:27,5a,5a,13.0,1,False,1,1,False,True,
tension,35,Fingery,2022-04-20 16:40:29,5c,6a+,17.0,1,False,1,1,False,True,
tension,35,Tell Me,2022-04-20 16:43:27,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Jiggles,2022-04-20 16:51:20,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Lift Kit,2022-04-20 16:56:01,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Weast,2022-04-20 17:08:03,6a+,6a+,17.0,1,False,1,1,False,True,
tension,35,That's The Ticket,2022-04-20 18:16:06,5b,5b,14.325,1,False,1,1,False,True,
tension,35,Jiggles,2022-04-20 18:25:35,6a,6a,16.0,1,False,1,2,True,True,
tension,35,Just Dance with Me,2022-04-20 18:45:03,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Just Dance with Me,2022-04-20 18:45:08,6a,6a,16.0,1,True,1,1,False,True,
tension,35,Captain Progression,2022-04-20 19:00:21,6b,6b,18.0417,1,False,1,1,False,True,
tension,35,Excelsior,2022-04-20 19:25:03,6b+,6b,18.0,1,True,1,1,False,True,
tension,35,lefty loosy,2022-04-28 15:59:51,5a,5a,12.9725,1,False,1,1,False,True,
tension,35,baby it’s cold outside,2022-04-28 16:02:37,5a,5a,13.0,1,False,1,1,False,True,
tension,35,Switching Places,2022-04-28 16:04:18,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Pinchy V3,2022-04-28 16:09:15,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Pinchy V3,2022-04-28 16:09:28,6a,6a,16.0,2,False,1,3,True,True,
tension,35,Closing Time,2022-04-28 16:11:06,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Closing Time,2022-04-28 16:13:49,5c,5c,15.0,1,True,1,1,False,True,
tension,35,I ❤️ maple bars.,2022-04-28 16:21:56,6a+,6a+,16.8608,1,False,1,1,False,True,
tension,35,Agro,2022-04-28 16:24:33,6a+,6a+,17.0,1,False,1,1,False,True,
tension,35,Lucytacular,2022-04-28 16:24:57,6a+,6a+,16.9074,1,False,1,1,False,True,
tension,35,Chunky,2022-04-28 16:28:12,6a+,6a+,16.7037,1,False,1,1,False,True,
tension,35,Chunky,2022-04-28 16:29:40,6a+,6a+,16.7037,1,True,1,1,False,True,
tension,35,Pinch of BRU,2022-04-28 18:02:44,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Lola Loves Quarantining,2022-04-28 18:10:12,6a,6a,16.0138,1,False,1,1,False,True,
tension,35,Lola Loves Quarantining,2022-04-28 18:10:17,6a,6a,16.0138,1,False,1,2,True,True,
tension,35,More Savage 2,2022-04-28 18:17:20,6a,6a,16.0,1,False,1,1,False,True,
tension,35,A staircase to nowhere,2022-04-28 18:23:31,6a,6a,16.3333,1,False,1,1,False,True,
tension,35,A staircase to somewhere,2022-04-28 18:28:59,6b,6b,18.1429,1,False,1,1,False,True,
tension,35,Airwalk,2022-04-28 19:01:31,6b,6a+,17.16,1,False,1,1,False,True,
tension,35,Michelle amazing,2022-05-01 12:36:23,5a,5a,13.0,1,False,1,1,False,True,
tension,35,Tension Intro 2,2022-05-01 12:37:54,4a,4a,10.1538,1,False,1,1,False,True,
tension,35,Despicable Me,2022-05-01 12:39:23,5b,5b,14.0,1,False,1,1,False,True,
tension,35,wormup 6,2022-05-01 12:41:27,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Master-Stroke,2022-05-01 12:46:07,5a,5a,13.0,1,False,1,1,False,True,
tension,35,foxy,2022-05-01 12:47:04,4b,4b,10.7844,1,False,1,1,False,True,
tension,35,An Actual V1,2022-05-01 12:51:06,5a,5a,13.0,1,False,1,1,False,True,
tension,35,PincheyParker,2022-05-01 12:52:54,5b,5b,14.0,2,False,1,2,False,True,
tension,35,Word Goes Around,2022-05-01 12:57:25,5c,5c,15.0,1,False,1,1,False,True,
tension,35,PincheyParker,2022-05-02 18:07:34,5b,5b,14.0,1,False,2,3,True,True,
tension,35,Word Goes Around,2022-05-02 18:10:01,5c,5c,15.0,1,False,2,2,True,True,
